Country,Amount
Australia,468.0
New Zealand,438.1
Ireland,373.7
Hungary,368.1
United States of America,352.2
Belgium,345.8
France,344.1
Denmark,340.4
Norway,337.8
Netherlands,334.1
Canada,334.0
France,324.2
United Kingdom,319.2
"Korea, South",313.5
Germany,313.1
Switzerland,311.0
Luxembourg,309.3
Serbia,307.8
Slovenia,304.9
Latvia,302.2
Slovakia,297.5
Czechia,296.7
Sweden,294.7
Italy,290.6
Croatia,287.2
Lithuania,285.8
Estonia,283.3
Greece,279.8
Spain,272.3
Finland,266.3
Uruguay,263.4
Belarus,260.7
Portugal,259.5
Iceland,257.8
Guadeloupe,254.6
Puerta Rico,254.5
Moldova,254.3
Poland,253.8
Martinique,250.8
Cyprus,250.8
Malta,249.4
Singapore,248.9
Japan,248.0
Austria,247.7
Barbados,247.5
French Guiana,247.0
Lebanon,242.8
Bulgaria,242.8
French Polynesia,240.6
Israel,233.5
North Macedonia,230.8
Mongolia,229.2
Turkey,225.1
Romania,222.4
Russia,222.1
Montenegro,221.9
Ukraine,220.9
Bosnia and Herzegovina,220.3
Brunei,220.2
Argentina,218.0
Brazil,217.2
Cuba,216.5
Réunion,213.9
South Africa,213.5
Samoa,207.4
Jamaica,203.7
Papua New Guinea,202.4
China,201.7
Costa Rica,197.7
Zimbabwe,197.5
Chile,195.5
Armenia,194.8
Peru,192.6
Venezuela,187.5
Bahamas,181.4
Colombia,178.8
Trinidad and Tobago,177.4
Guam,177.2
Kenya,175.5
Paraguay,175.5
Albania,173.9
Panama,173.0
Suriname,172.6
Kazakhstan,170.1
Syria,169.9
Malawi,166.3
Fiji,164.0
Dominican Republic,163.9
Philippines,163.3
North Korea,161.7
West Bank and Gaza,158.6
Thailand,158.2
Jordan,157.8
Saint Lucia,157.7
Ecuador,157.2
Egypt,156.9
Laos,154.3
Mauritius,153.2
Uganda,151.4
VietNam,151.4
Cabo Verde,149.0
Georgia,143.2
Bolivia,142.9
Mexico,142.7
Haiti,142.3
El Salvador,142.1
Burundi,141.9
Iran,141.6
Nicaragua,141.0
Malaysia,139.9
Morocco,139.6
Rwanda,136.4
Indonesia,136.2
Zambia,136.2
Mali,135.5
Honduras,134.6
Belize,132.4
Tanzania,131.6
Mozambique,131.0
Burma,130.9
Algeria,130.8
Namibia,129.2
Kyrgyzstan,128.8
Guatemala,126.9
Benin,126.2
Ghana,125.5
Eswatini,125.1
Cambodia,124.0
Kuwait,121.8
Somalia,120.8
Libya,120.3
South Sudan,119.9
Senegal,118.7
Solomon Islands,118.0
Turkmenistan,117.8
Burkina Faso,117.7
Maldives,117.0
Lesotho,116.8
Tunisia,115.4
Madagascar,115.3
Pakistan,114.0
Sao Tome and Principe,113.0
United Arab Emirates,112.5
Gabon,111.2
Cote d'Ivoire,109.2
Cameroon,107.5
Angola,107.0
Congo (Kinshasa),106.6
Azerbaijan,106.2
Bangladesh,105.7
Iraq,105.5
Guyana,105.4
Bahrain,105.2
Togo,105.0
Liberia,104.0
Vanuatu,104.0
Nigeria,103.8
Nepal,103.7
Botswana,103.6
Oman,103.3
Equatorial Guinea,101.6
Sierra Leone,101.0
Guinea,100.5
Afghanistan,100.2
Comoros,99.8
Ethiopia,99.5
Mauritania,98.5
Eritrea,97.7
Qatar,97.3
Guinea-Bissau,97.0
Sudan,95.9
Chad,95.4
Central African Republic,92.4
Uzbekistan,91.4
India,89.4
Saudi Arabia,88.7
Sri Lanka,88.1
Djibouti,87.9
Bhutan,87.8
Tajikistan,87.3
Timor-Leste,84.3
Democratic Republic of the Congo,76.9
Yemen,76.1
Niger,72.6
Gambia,57.2
